ID,Hora de inicio,Hora de finalización,Email,Estudias,Pais,Estado,Ciudad,Nacionalidad,Año,Sexo,Genero ,Estudios,Tipo de Migrante,Residencia,Origen,Procedencia,País3,Estado4,Año 2,Razones,Estatus,Año 3,Pertenencia,Grupo,Discriminación,Contactos,Red,Bienestar 1,Bienestar 2,Bienestar 3,Bienstar 4,Bienestar 5,Bienestar 6,Acciones,Culminar,Justificación,Permanencia
1,8/12/25 10:24:46,8/12/25 10:26:08,anonymous,Si,Mexico,Puebla ,Puebla ,Mexicana ,2005,Masculino,Hombre,Profesional,No soy migrante. Soy originario de la ciudad de Puebla y estoy residiendo en ella.,,,,,,,,,,,,,,,,,,,,,,, ,
2,8/12/25 10:25:13,8/12/25 10:26:50,anonymous,Si,Mexico,Puebla,Puebla,mexicana,2005,Femenino,Prefiero no decirlo,Profesional,No soy migrante. Soy originario de la ciudad de Puebla y estoy residiendo en ella.,,,,,,,,,,,,,,,,,,,,,,,,
3,8/12/25 10:24:52,8/12/25 10:26:52,anonymous,Si,Mexico,Puebla,Puebla,Mexicana,2002,Masculino,Hombre,Profesional,No soy migrante. Soy originario de la ciudad de Puebla y estoy residiendo en ella.,,,,,,,,,,,,,,,,,,,,,,,,
4,8/12/25 10:25:09,8/12/25 10:29:01,anonymous,Si,Mexico,Veracruz,Cordoba,Mexicana,2003,Masculino,Hombre,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,Option 2,2021,Estudios,Solo(a),2020,De acuerdo,Si,No,Si,Amigos,Bien,Neutro,Neutro,Neutro,Neutro,Bien,Convivios donde se motive a compartir cosas de otros estados o países para que las culturas puedan convivir ,Si,Planeo cursar la carrera aquí por cuestiones económicas y de comodidad,Si
5,8/12/25 10:24:26,8/12/25 10:29:58,anonymous,Si,Mexico,Hidalgo ,Cuautepec de Hinojosa ,No tengo ninguna otra.,2004,Masculino,Hombre,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,Option 2,2024,Estudios,Solo(a),2024,De acuerdo,Si,No,Si,"Es pequeña, no conozco a muchas personas.",Bien,Bien,Bien,Bien,Bien,Bien,Que hubiera personas que pudieran escucharnos.,Si,Porque me gusta la ciudad y me queda cerca de mi lugar de origen.,No
6,8/12/25 10:25:22,8/12/25 10:30:32,anonymous,Si,Mexico,Estado de Mexico,Toluca ,Mexicana ,2004,Femenino,Mujer,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,Option 2,2005,Familiares,Con familia,2023,De acuerdo,Si,No,Si,Buena ,Bien,Bien,Bien,Neutro,Bien,Bien,Abrir el diálogo ,Si,Me gusta la ciudad y la gente aquí ,Si
7,8/12/25 10:25:30,8/12/25 10:31:13,anonymous,Si,Mexico,San Luis Potosí ,San Luis Potosi,Mexicana,2005,Masculino,Hombre,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,Option 2,2024,Estudios,Solo(a),2024,Completamente de acuerdo,Si,No,Si,"Muy sólida, principalmente con los compañeros de la compañía de teatro musical",Bien,Neutro,Neutro,Bien,Neutro,Bien,Tener más acercamiento por parte de administración y mentores a estudiantes foráneos para entender su situación y ayudarles a integrarse más cómodamente al Tec,Si,Por el plan de estudios,No
8,8/12/25 10:27:13,8/12/25 10:31:41,anonymous,Si,Mexico,CDMX,CDMX,mexicana ,2004,Femenino,Mujer,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,Option 2,2024,Estudios,Solo(a),2024,De acuerdo,Si,No,Si,"hoy en día, muy buena y confiable ",Bien,Bien,Bien,Bien,Bien,Bien,tal vez hacer grupos donde se den recomendaciones ,Si,me siento cómoda en la ciudad y no me gustaría volver a empezar de cero en otra cuando ya me encariñe ,Si
9,8/12/25 10:24:34,8/12/25 10:32:15,anonymous,Si,Mexico,Estado de México ,Ecatepec ,Mexicana,2006,Masculino,Hombre,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,Option 2,2024,Estudios,Solo(a),2024,Completamente de acuerdo,Si,No,Si,Excelente ,Bien,Bien,Muy bien,Muy bien,Muy bien,Muy bien,Todo bien :),Si,Por qué tengo amigos aquí que valoro mucho :),Si
10,8/12/25 10:25:44,8/12/25 10:34:24,anonymous,Si,Mexico,Morelos,Cuautla,mexicana,2003,Femenino,Mujer,Profesional,"Interna. Movimiento de personas dentro de un país, incluido dentro del mismo estado de Puebla (foráneos, o vienes de San Andrés Cholula, etc.).",Si,,De otro estado de la Republica Mexicana (distinto a Puebla),,Option 2,2017,Familiares,Con familia,2023,En desacuerdo,Si,No,Si,"No creo que sea muy grande, mi red de apoyo la encuentro a distancia",Bien,Bien,Neutro,Muy bien,Bien,Bien,Hacer actividades de integración  y grupos de apoyo,No,Me gustaría moverme a otro campus para estar más cerca de mi familia,No
